Date,Open,High,Low,Close,Adj Close,Volume
2015-06-23,0.010568,0.010713,0.010485,0.010667,0.010667,487296
2015-06-24,0.010667,0.011089,0.010639,0.010914,0.010914,662015
2015-06-25,0.010910,0.011056,0.010896,0.011048,0.011048,328795
2015-06-26,0.011048,0.011294,0.011029,0.011288,0.011288,344441
2015-06-27,0.011290,0.011582,0.011287,0.011445,0.011445,347201
2015-06-28,0.011444,0.011477,0.011268,0.011467,0.011467,255832
2015-06-29,0.011487,0.012011,0.011485,0.011977,0.011977,840533
2015-06-30,0.011970,0.012017,0.011320,0.011320,0.011320,1028230
2015-07-01,0.011317,0.011405,0.011027,0.011198,0.011198,558248
2015-07-02,0.011195,0.011243,0.010969,0.011037,0.011037,404117
2015-07-03,0.011038,0.011105,0.011004,0.011099,0.011099,251150
2015-07-04,0.011099,0.011106,0.010774,0.010782,0.010782,138329
2015-07-05,0.010770,0.010785,0.009986,0.010022,0.010022,801046
2015-07-06,0.010021,0.010196,0.009873,0.009873,0.009873,928027
2015-07-07,0.009882,0.009954,0.009487,0.009580,0.009580,612402
2015-07-08,0.009572,0.009633,0.009386,0.009449,0.009449,803026
2015-07-09,0.009467,0.009486,0.008961,0.008987,0.008987,935172
2015-07-10,0.008956,0.009352,0.008806,0.008847,0.008847,1344950
2015-07-11,0.008848,0.008909,0.008604,0.008615,0.008615,407434
2015-07-12,0.008611,0.008779,0.008585,0.008614,0.008614,423951
2015-07-13,0.008610,0.008613,0.008213,0.008569,0.008569,1023880
2015-07-14,0.008565,0.008728,0.008546,0.008631,0.008631,791771
2015-07-15,0.008638,0.008710,0.008504,0.008516,0.008516,572785
2015-07-16,0.008513,0.008578,0.008059,0.008062,0.008062,782856
2015-07-17,0.008061,0.008067,0.007952,0.008026,0.008026,299869
2015-07-18,0.008023,0.008080,0.007997,0.008060,0.008060,68213
2015-07-19,0.008061,0.008094,0.008007,0.008091,0.008091,85865
2015-07-20,0.008093,0.008162,0.007943,0.007948,0.007948,285165
2015-07-21,0.007951,0.007951,0.007699,0.007711,0.007711,525732
2015-07-22,0.007708,0.007714,0.007571,0.007579,0.007579,367888
2015-07-23,0.007579,0.007582,0.007447,0.007487,0.007487,182970
2015-07-24,0.007486,0.007697,0.007473,0.007656,0.007656,277406
2015-07-25,0.007655,0.007892,0.007632,0.007888,0.007888,237028
2015-07-26,0.007888,0.008125,0.007806,0.008115,0.008115,233266
2015-07-27,0.008116,0.008579,0.008115,0.008562,0.008562,666090
2015-07-28,0.008565,0.008602,0.008446,0.008449,0.008449,143142
2015-07-29,0.008451,0.008549,0.008272,0.008519,0.008519,174525
2015-07-30,0.008517,0.008582,0.008471,0.008491,0.008491,324219
2015-07-31,0.008494,0.008494,0.008420,0.008437,0.008437,423581
2015-08-01,0.008438,0.008441,0.008220,0.008222,0.008222,196429
2015-08-02,0.008225,0.008232,0.008170,0.008230,0.008230,206009
2015-08-03,0.008230,0.008321,0.008223,0.008281,0.008281,231262
2015-08-04,0.008277,0.008320,0.008263,0.008271,0.008271,178712
2015-08-05,0.008264,0.008286,0.008221,0.008224,0.008224,219269
2015-08-06,0.008225,0.008225,0.008024,0.008024,0.008024,375521
2015-08-07,0.008020,0.008153,0.007989,0.008152,0.008152,363643
2015-08-08,0.008164,0.008708,0.008164,0.008476,0.008476,678295
2015-08-09,0.008484,0.008823,0.008472,0.008808,0.008808,531969
2015-08-10,0.008812,0.008905,0.008746,0.008750,0.008750,472973
2015-08-11,0.008751,0.008766,0.008591,0.008591,0.008591,282461
2015-08-12,0.008591,0.008593,0.008271,0.008271,0.008271,287463
2015-08-13,0.008267,0.008267,0.008146,0.008147,0.008147,202934
2015-08-14,0.008148,0.008339,0.008075,0.008337,0.008337,423163
2015-08-15,0.008330,0.008465,0.008325,0.008420,0.008420,176135
2015-08-16,0.008419,0.008419,0.008310,0.008315,0.008315,301654
2015-08-17,0.008314,0.008361,0.008266,0.008301,0.008301,337092
2015-08-18,0.008301,0.008334,0.007552,0.007552,0.007552,291729
2015-08-19,0.007526,0.007947,0.007526,0.007758,0.007758,474702
2015-08-20,0.007760,0.007872,0.007719,0.007872,0.007872,215415
2015-08-21,0.007871,0.007913,0.007847,0.007881,0.007881,265646
2015-08-22,0.007878,0.007888,0.007712,0.007722,0.007722,182227
2015-08-23,0.007722,0.007723,0.007543,0.007552,0.007552,157580
2015-08-24,0.007553,0.007649,0.007391,0.007397,0.007397,546516
2015-08-25,0.007399,0.007399,0.007093,0.007126,0.007126,593316
2015-08-26,0.007133,0.007507,0.007041,0.007492,0.007492,196124
2015-08-27,0.007474,0.007620,0.007474,0.007551,0.007551,202412
2015-08-28,0.007555,0.007555,0.007419,0.007433,0.007433,414310
2015-08-29,0.007427,0.007751,0.007361,0.007751,0.007751,365144
2015-08-30,0.007751,0.008052,0.007751,0.008050,0.008050,408809
2015-08-31,0.008061,0.008092,0.007878,0.007884,0.007884,635572
2015-09-01,0.007884,0.007888,0.007771,0.007815,0.007815,401903
2015-09-02,0.007821,0.007833,0.007694,0.007700,0.007700,398976
2015-09-03,0.007692,0.007699,0.007431,0.007431,0.007431,322054
2015-09-04,0.007430,0.007433,0.007287,0.007355,0.007355,472228
2015-09-05,0.007352,0.007921,0.007351,0.007860,0.007860,856833
2015-09-06,0.007861,0.007946,0.007779,0.007891,0.007891,284050
2015-09-07,0.007889,0.007955,0.007889,0.007918,0.007918,234100
2015-09-08,0.007917,0.007978,0.007830,0.007831,0.007831,193672
2015-09-09,0.007830,0.007830,0.007664,0.007678,0.007678,254159
2015-09-10,0.007685,0.007720,0.007661,0.007663,0.007663,234873
2015-09-11,0.007661,0.008444,0.007633,0.008444,0.008444,77796
2015-09-12,0.008447,0.008447,0.008144,0.008197,0.008197,24819
2015-09-13,0.008197,0.008538,0.008150,0.008532,0.008532,62875
2015-09-14,0.008535,0.008645,0.007404,0.007404,0.007404,274835
2015-09-15,0.007398,0.007892,0.007344,0.007720,0.007720,676501
2015-09-16,0.007721,0.007752,0.007406,0.007426,0.007426,316497
2015-09-17,0.007427,0.007438,0.007363,0.007372,0.007372,544100
2015-09-18,0.007383,0.007538,0.007377,0.007529,0.007529,501172
2015-09-19,0.007527,0.007527,0.007364,0.007482,0.007482,441298
2015-09-20,0.007482,0.007688,0.007479,0.007637,0.007637,445039
2015-09-21,0.007633,0.007634,0.007247,0.007247,0.007247,245324
2015-09-22,0.007245,0.007250,0.007152,0.007168,0.007168,252173
2015-09-23,0.007167,0.007183,0.006668,0.006668,0.006668,985902
2015-09-24,0.006668,0.006710,0.006604,0.006710,0.006710,400287
2015-09-25,0.006707,0.006736,0.006625,0.006650,0.006650,403453
2015-09-26,0.006651,0.006651,0.006501,0.006501,0.006501,439274
2015-09-27,0.006500,0.006562,0.006431,0.006536,0.006536,269143
2015-09-28,0.006535,0.006573,0.006290,0.006293,0.006293,602856
2015-09-29,0.006291,0.006291,0.005579,0.005579,0.005579,964995
2015-09-30,0.005582,0.005582,0.005421,0.005520,0.005520,719793
2015-10-01,0.005518,0.005540,0.005428,0.005448,0.005448,557597
2015-10-02,0.005445,0.005869,0.005443,0.005868,0.005868,587722
2015-10-03,0.005855,0.005902,0.005514,0.005517,0.005517,395715
2015-10-04,0.005515,0.005515,0.005236,0.005236,0.005236,355762
2015-10-05,0.005237,0.005237,0.005008,0.005008,0.005008,623667
2015-10-06,0.005009,0.005336,0.004991,0.005328,0.005328,349154
2015-10-07,0.005328,0.005477,0.005327,0.005375,0.005375,373080
2015-10-08,0.005375,0.005375,0.005031,0.005031,0.005031,665310
2015-10-09,0.005032,0.005035,0.004857,0.004983,0.004983,851326
2015-10-10,0.004983,0.005116,0.004970,0.005037,0.005037,163088
2015-10-11,0.005038,0.005183,0.005011,0.005182,0.005182,134555
2015-10-12,0.005181,0.005265,0.005174,0.005260,0.005260,123326
2015-10-13,0.005262,0.005386,0.005246,0.005377,0.005377,355659
